ID,Interface aspect,Checklist item
IA-02-20,IA-02 Forms,Sau khi submit có nhiều lỗi hệ thống hiển thị tổng hợp lỗi hoặc đưa focus tới lỗi đầu tiên; mỗi lỗi liên kết đúng field.
IA-02-21,IA-02 Forms,Khi có upload người dùng có thể thay thế xoá hoặc huỷ tệp trước khi lưu; preview và tên tệp phản ánh đúng lựa chọn và lỗi upload không xoá dữ liệu form khác.
IA-03-01,IA-03 Navigation,Menu sidebar tab hoặc breadcrumb cho biết rõ khu vực admin và màn hình hiện tại.
IA-03-02,IA-03 Navigation,Menu đang active được làm nổi bật rõ và không che khuất nội dung hiện tại.
IA-03-03,IA-03 Navigation,Sidebar thu gọn hoặc mở rộng hoạt động ổn định; trên mobile có cách mở menu rõ ràng nếu sidebar tồn tại.
IA-03-04,IA-03 Navigation,Back Return Cancel và breadcrumb đưa người dùng đến nơi họ mong đợi mà không mất dữ liệu bất ngờ.
IA-03-05,IA-03 Navigation,Admin chuyển giữa Events List tạo/sửa và xem trước event theo luồng dễ hiểu.
IA-03-06,IA-03 Navigation,Khi sửa hoặc xem chi tiết admin luôn nhận biết được event nào đang được thao tác.
IA-03-07,IA-03 Navigation,Events List hiển thị thông tin cốt lõi gồm tên thời gian địa điểm trạng thái và action hoặc có cách mở thông tin đó rõ ràng.
IA-03-08,IA-03 Navigation,Icon action như xem sửa xoá có tooltip hoặc nhãn dễ hiểu khi hover hoặc focus.
IA-03-09,IA-03 Navigation,Search filter sort và tab giữ trạng thái phù hợp khi quay lại danh sách hoặc có nút Reset rõ ràng.
IA-03-10,IA-03 Navigation,Search phản hồi khi nhấn Enter hoặc theo cơ chế rõ ràng; kết quả lọc phản ánh đúng từ khóa.
IA-03-11,IA-03 Navigation,Phân trang hoặc số dòng mỗi trang nếu có hiển thị rõ tổng số bản ghi và trạng thái trang hiện tại.
IA-03-12,IA-03 Navigation,Đường dẫn trực tiếp đến event hợp lệ mở đúng ngữ cảnh; đường dẫn không hợp lệ có hướng dẫn phục hồi.
IA-03-13,IA-03 Navigation,Keyboard focus đi theo thứ tự logic; focus indicator nhìn thấy được và không bị che khuất.
IA-03-14,IA-03 Navigation,Button icon và control trên mobile có vùng bấm đủ lớn để thao tác chính xác.
IA-03-15,IA-03 Navigation,Nút Back Forward của browser và refresh giữ đúng URL hoặc ngữ cảnh hợp lý; không gửi lại thao tác hoặc làm mất state ngoài dự kiến.
IA-03-16,IA-03 Navigation,Khi mở hoặc đóng modal menu hoặc drawer focus được đưa vào đúng chỗ không bị kẹt và quay về control kích hoạt sau khi đóng.
IA-04-01,IA-04 Feedback/State,Hệ thống phản hồi kịp thời cho thao tác có thời gian xử lý bằng loading spinner skeleton hoặc progress bar phù hợp.
IA-04-02,IA-04 Feedback/State,Khi filter sort hoặc đổi trang Events List hệ thống có loading state thay vì màn hình trắng hoặc không phản hồi.
IA-04-03,IA-04 Feedback/State,Các action tạo lưu publish cập nhật hoặc xoá hiển thị kết quả thành công hoặc thất bại rõ ràng.
IA-04-04,IA-04 Feedback/State,Toast hoặc thông báo xuất hiện gần thời điểm hành động; nội dung ngắn rõ và không che control quan trọng.
IA-04-05,IA-04 Feedback/State,Dialog xác nhận nêu rõ đối tượng hậu quả và action không thể đảo ngược trước khi Delete Cancel hoặc Publish.
IA-04-06,IA-04 Feedback/State,Dialog hoặc modal có cách đóng rõ ràng như nút X Cancel ESC hoặc click nền khi phù hợp; không làm mất dữ liệu bất ngờ.
IA-04-07,IA-04 Feedback/State,Action nguy hiểm hoặc dễ gây mất dữ liệu có Cancel hoặc cơ chế undo/recovery hợp lý.
IA-04-08,IA-04 Feedback/State,Trong lúc Save Draft hoặc Publish UI ngăn submit lặp và thể hiện thao tác đang xử lý.
IA-04-09,IA-04 Feedback/State,Status như Draft Published Ended Cancelled Pending Approved dùng nhãn màu và icon nhất quán dễ hiểu.
IA-04-10,IA-04 Feedback/State,Badge notification dot hoặc counter nếu có nói rõ có gì mới ở đâu cần xử lý và không chỉ dựa vào màu.
IA-04-11,IA-04 Feedback/State,Loading empty success warning error và disabled state phân biệt rõ bằng nội dung và trình bày nhất quán.
IA-04-12,IA-04 Feedback/State,Lỗi hệ thống hoặc network có thông điệp không kỹ thuật và cung cấp Retry hoặc bước phục hồi khi phù hợp.
IA-04-13,IA-04 Feedback/State,Thay đổi từ toggle lựa chọn form hoặc thao tác xác nhận hiển thị ngay và không khiến người dùng nghi ngờ state hiện tại.
IA-04-14,IA-04 Feedback/State,Feedback ở cùng loại thao tác được đặt và diễn đạt nhất quán giữa Events List và Add/Edit Event.
IA-04-15,IA-04 Feedback/State,Khi rời form có thay đổi chưa lưu hệ thống cảnh báo với lựa chọn ở lại hoặc bỏ thay đổi rõ ràng; không cảnh báo sai sau khi đã lưu thành công.
